Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
A114,453013926,85.595637,27.9425947,361838.566,3091636.84,2599.48,101.3862616,127.9259606
A115,453020534,85.5968354,27.9436103,361957.772,3091748.01,2595.8,101.4219097,128.9349421
A132,453012169,85.5903025,27.9591939,361334.912,3093481.959,2850.79,100.2842708,127.7484144
A133,453013568,85.5892437,27.9599662,361231.737,3093568.735,2903.41,100.2679514,127.4076505
A134,453012525,85.588821,27.9608906,361191.335,3093671.631,2913.22,100.2729282,127.7890162
A135,453012587,85.5884297,27.9617791,361153.98,3093770.511,2922.1,100.2560532,127.0288079
A136,453012826,85.588063,27.9625077,361118.836,3093851.658,2912.54,100.2475347,128.0714005
A137,453012025,85.5880486,27.9635491,361118.752,3093967.053,2929.91,100.2352894,124.8378125
A138,453013440,85.5880121,27.9644038,361116.259,3094061.782,2934.02,100.2371181,127.7137616
A139,453012615,85.5878036,27.9653644,361096.977,3094168.454,2946.05,100.2235764,127.3585532
A140,453013665,85.5876087,27.9660747,361078.722,3094247.368,2964.35,100.2208681,127.2052894
A141,453011733,85.5872772,27.9672376,361047.598,3094376.594,2984.62,100.2082986,127.6316088
A142,453013721,85.5868326,27.9679717,361004.803,3094458.433,2975.05,100.205706,127.8137384
A143,453013720,85.5868022,27.9689006,361003.003,3094561.379,2995.25,100.3650347,127.5989005
A144,453013001,85.5865222,27.969866,360976.696,3094668.655,3024.45,100.3969792,126.4225116
A145,453011838,85.5864428,27.9709555,360970.282,3094789.454,3077.89,100.3592014,128.5505671
A146,453012833,85.5861275,27.9716868,360940.211,3094870.836,3098.16,100.3687153,126.0848032
A147,453011983,85.5856245,27.9727094,360892.048,3094984.711,3124.57,100.3814005,127.8758218
A148,453012611,85.584847,27.973533,360816.621,3095076.845,3134.93,100.3310532,127.1816088
A149,453014141,85.5832788,27.9744963,360663.605,3095185.362,3184.28,100.3178588,127.5825579
A150,453013372,85.5823727,27.9752502,360575.45,3095269.921,3149.12,100.3051042,126.1809375
A151,453011833,85.5826375,27.9762152,360602.738,3095376.538,3137.87,100.2928356,127.2811458
A152,453013502,85.5823828,27.9770412,360578.743,3095468.35,3135.25,100.290544,127.2591319
A153,453013024,85.5825899,27.9779899,360600.334,3095573.224,3136.71,100.2562384,127.5567708
A154,453014285,85.5824351,27.978909,360586.291,3095675.223,3144.8,100.2481134,127.9578125
