# 2023 04 18 00 32 50.939 85.6864  27.5337  14.430  6.36 0 0 0      1
 A105   2.380 1 P
 A105   4.270 1 S
 A106   2.400 1 P
 A106   4.330 1 S
 A107   2.400 1 P
 A107   4.340 1 S
 A108   2.420 1 P
 A108   4.420 1 S
 A109   2.400 1 P
 A109   4.350 1 S
 A110   2.410 1 P
 A110   4.310 1 S
 A111   2.410 1 P
 A111   4.320 1 S
  AX5   2.390 1 P
  AX5   4.210 1 S
 A112   2.450 1 P
  AX6   2.410 1 P
  AX6   4.310 1 S
 A113   2.440 1 P
 A113   4.310 1 S
 A114   2.410 1 P
 A114   4.260 1 S
 A115   2.420 1 P
 2D19   4.790 1 S
 2D19   2.770 1 P
 A132   2.570 1 P
 A132   4.470 1 S
 A133   2.610 1 P
 A133   4.670 1 S
 A134   2.620 1 P
 A134   4.550 1 S
 A135   2.620 1 P
 A136   2.620 1 P
 A137   2.640 1 P
 A137   4.950 1 S
 A138   2.620 1 P
 A139   2.640 1 P
 A139   4.450 1 S
 2D22   3.080 1 P
 2D22   5.270 1 S
 A140   2.650 1 P
 A141   2.690 1 P
 A141   5.290 1 S
 A142   2.690 1 P
 A142   4.680 1 S
 A143   2.700 1 P
 A144   2.720 1 P
 A145   2.730 1 P
 A146   2.720 1 P
 A146   4.720 1 S
 A147   2.750 1 P
 A147   4.810 1 S
 A148   2.730 1 P
 A148   4.660 1 S
 A149   2.760 1 P
 A149   5.180 1 S
 A150   2.730 1 P
 A150   4.700 1 S
 A151   2.740 1 P
 A151   4.780 1 S
 A152   2.760 1 P
 A153   2.740 1 P
 A153   4.760 1 S
 A154   2.750 1 P
 A155   2.770 1 P
 A156   2.780 1 P
 A156   4.690 1 S
 A157   2.800 1 P
 A157   4.670 1 S
 A158   2.810 1 P
 A158   4.780 1 S
 A159   2.830 1 P
 A159   4.400 1 S
 A160   2.850 1 P
 A160   5.030 1 S
 A161   2.850 1 P
 A161   5.070 1 S
 A162   2.850 1 P
 A162   4.950 1 S
 A163   2.860 1 P
 A163   5.050 1 S
 A164   2.860 1 P
 A165   2.890 1 P
 A166   2.890 1 P
 A166   5.030 1 S
 A167   2.880 1 P
 A167   5.210 1 S
 A168   2.880 1 P
 A169   2.890 1 P
 A169   5.050 1 S
  AX1   2.900 1 P
  AX1   5.100 1 S
 A170   2.900 1 P
 A170   5.190 1 S
  AX2   2.900 1 P
  AX2   5.310 1 S
  AX3   2.860 1 P
 A171   4.970 1 S
 A171   2.920 1 P
  AX4   2.860 1 P
  AX4   5.030 1 S
 A172   4.810 1 S
 A172   2.930 1 P
 A173   5.130 1 S
 A173   2.940 1 P
 A174   5.110 1 S
 A174   2.940 1 P
 A175   5.060 1 S
 A175   2.900 1 P
 A176   5.130 1 S
 A176   2.970 1 P
 A177   5.260 1 S
 A177   3.000 1 P
 A179   5.350 1 S
 A179   2.980 1 P
 A178   2.950 1 P
  C01   2.960 1 P
  C01   5.270 1 S
 A180   2.980 1 P
 A181   5.360 1 S
 A181   3.010 1 P
  C02   2.930 1 P
  C99   2.920 1 P
  C99   4.860 1 S
  C03   2.930 1 P
  C03   5.350 1 S
  C04   2.920 1 P
  C05   2.930 1 P
  C05   5.300 1 S
  C06   2.900 1 P
  C07   2.890 1 P
  C08   2.870 1 P
  C09   2.860 1 P
  C10   2.860 1 P
  C10   5.230 1 S
  C11   2.860 1 P
  C12   2.880 1 P
  C12   5.160 1 S
  C13   2.860 1 P
  C13   5.230 1 S
  C14   2.860 1 P
  C14   5.220 1 S
  C15   2.840 1 P
  C16   2.870 1 P
  C16   5.370 1 S
  C17   2.860 1 P
  C18   2.880 1 P
  C18   5.110 1 S
  C19   2.860 1 P
  C19   5.210 1 S
  C20   2.850 1 P
  C21   2.840 1 P
  C21   5.100 1 S
  C22   2.850 1 P
  C22   5.100 1 S
  C23   2.840 1 P
  C23   5.070 1 S
  C41   2.810 1 P
  C41   4.870 1 S
  C24   2.820 1 P
  C24   4.980 1 S
  C42   2.840 1 P
  C42   4.890 1 S
  C43   2.850 1 P
  C43   4.980 1 S
  C44   2.860 1 P
  C44   5.130 1 S
  C45   2.850 1 P
  C45   5.050 1 S
  C46   2.850 1 P
  C46   5.010 1 S
  C47   2.850 1 P
  C47   4.950 1 S
  C48   2.880 1 P
  C48   5.030 1 S
  C49   2.850 1 P
  C49   5.040 1 S
  C50   2.850 1 P
  C50   4.970 1 S
  C51   2.850 1 P
  C51   5.030 1 S
  C52   2.820 1 P
  C52   4.880 1 S
  C53   2.840 1 P
  C53   5.030 1 S
  C54   2.830 1 P
  C54   4.910 1 S
  C55   2.810 1 P
  C55   4.870 1 S
  C56   2.820 1 P
  C56   4.880 1 S
  C57   2.820 1 P
  C57   4.870 1 S
  C58   2.810 1 P
  C58   4.870 1 S
  C59   2.810 1 P
  C59   4.880 1 S
  C60   2.810 1 P
  C60   4.920 1 S
  C61   2.800 1 P
  C61   4.910 1 S
  C62   2.800 1 P
  C62   4.900 1 S
  C63   2.800 1 P
  C63   4.920 1 S
  C64   2.810 1 P
  C64   4.890 1 S
  C65   2.760 1 P
  C65   4.910 1 S
  C70   2.800 1 P
  C70   4.910 1 S
  C69   2.770 1 P
  C69   4.840 1 S
  C68   2.770 1 P
  C68   4.780 1 S
  C67   2.770 1 P
  C67   4.780 1 S
  C76   2.800 1 P
  C76   4.860 1 S
  C71   2.770 1 P
  C71   4.780 1 S
  C75   2.800 1 P
  C75   4.880 1 S
  C74   2.770 1 P
  C74   4.800 1 S
  C72   2.760 1 P
  C72   4.830 1 S
  C77   2.820 1 P
  C77   4.870 1 S
  C73   2.770 1 P
  C73   4.840 1 S
  C81   2.810 1 P
  C81   4.810 1 S
  C80   2.810 1 P
  C80   4.790 1 S
  C78   2.810 1 P
  C78   4.870 1 S
  C79   2.810 1 P
  C79   4.840 1 S
 2D09   4.440 1 S
 2D09   2.480 1 P
# 2023 04 18 02 54 26.275 85.6820  27.5566   9.641  6.44 0 0 0      6
 2D20   1.615 1 P
 2D20   2.625 1 S
 2D22   2.255 1 P
 2D22   3.645 1 S
 2D19   1.745 1 P
 2D19   2.895 1 S
 2D18   1.865 1 P
 2D18   2.975 1 S
 A107   2.405 1 P
 A109   2.425 1 P
  AX5   2.425 1 P
 A102   2.425 1 P
 A101   2.395 1 P
 A132   2.745 1 P
 A100   2.415 1 P
 A100   5.465 1 S
 A145   4.895 1 S
 A145   2.945 1 P
 A146   5.045 1 S
 A146   2.945 1 P
 A099   2.415 1 P
 A099   4.955 1 S
 A144   2.915 1 P
 A143   2.905 1 P
 A143   4.985 1 S
 A141   2.905 1 P
 A141   4.735 1 S
 A140   2.855 1 P
 A147   2.975 1 P
 A139   2.835 1 P
 A139   4.635 1 S
 A138   2.825 1 P
 A138   4.635 1 S
 A142   4.965 1 S
 A142   2.905 1 P
 A137   2.845 1 P
 A098   2.425 1 P
 A134   4.625 1 S
 A134   2.815 1 P
 A135   4.615 1 S
 A135   2.815 1 P
 A148   5.325 1 S
 A148   2.985 1 P
 A136   2.815 1 P
 A097   2.425 1 P
 A158   3.075 1 P
 A157   3.055 1 P
 A160   3.105 1 P
 A155   3.035 1 P
 A155   5.045 1 S
 A159   3.095 1 P
 A159   5.785 1 S
 A154   3.025 1 P
 A161   3.135 1 P
 A153   3.015 1 P
 A153   5.015 1 S
 A162   5.445 1 S
 A162   3.135 1 P
 A149   3.025 1 P
 A151   2.985 1 P
 A152   3.025 1 P
 A163   3.145 1 P
 A150   2.985 1 P
 A165   5.385 1 S
 A165   3.225 1 P
 A166   5.595 1 S
 A166   3.265 1 P
 A167   5.955 1 S
 A167   3.225 1 P
 A168   3.255 1 P
  AX1   5.715 1 S
  AX1   3.305 1 P
  AX2   5.765 1 S
  AX2   3.315 1 P
  AX3   3.225 1 P
 A172   5.785 1 S
  C02   3.385 1 P
  C99   3.395 1 P
  C99   5.785 1 S
  C03   3.465 1 P
  C03   5.885 1 S
  C06   3.395 1 P
 A087   2.425 1 P
 A086   4.265 1 S
 A086   2.495 1 P
  C12   3.415 1 P
  C12   5.975 1 S
 A085   2.485 1 P
  C13   3.445 1 P
  C13   5.835 1 S
  C14   3.395 1 P
  C14   5.855 1 S
 A084   2.495 1 P
  C20   3.635 1 P
 A082   2.555 1 P
  C41   3.435 1 P
  C41   5.925 1 S
  C42   3.435 1 P
 A081   2.575 1 P
 A080   2.555 1 P
  C48   3.505 1 P
  C48   5.755 1 S
 A079   2.555 1 P
  C49   3.505 1 P
  C50   3.505 1 P
 A078   4.405 1 S
 A078   2.565 1 P
  C51   3.505 1 P
  C51   5.645 1 S
  C52   3.475 1 P
 A077   2.595 1 P
  C53   3.505 1 P
  C53   6.105 1 S
  C54   3.515 1 P
  C54   5.655 1 S
  C55   3.485 1 P
  C55   6.035 1 S
 A076   2.615 1 P
  C56   3.505 1 P
  C56   6.005 1 S
  C57   3.495 1 P
  C57   6.175 1 S
 A069   2.585 1 P
 A069   4.555 1 S
 A068   2.595 1 P
 A068   4.725 1 S
 A067   2.615 1 P
 A067   4.605 1 S
 A066   2.595 1 P
 A066   4.665 1 S
 A065   2.625 1 P
 A065   4.735 1 S
 2D17   2.685 1 P
 2D17   4.185 1 S
 A062   2.655 1 P
 A061   4.695 1 S
 A061   2.645 1 P
 A060   4.725 1 S
 A060   2.635 1 P
 2D06   5.345 1 S
 2D06   2.995 1 P
 A054   2.745 1 P
 2D07   3.045 1 P
 A042   2.705 1 P
 A042   4.955 1 S
 A040   2.685 1 P
 A040   5.015 1 S
 A039   2.705 1 P
 A039   4.985 1 S
 A041   2.715 1 P
 A041   4.775 1 S
 A037   4.635 1 S
  B06   2.765 1 P
  B10   4.495 1 S
  B10   2.785 1 P
 A005   2.745 1 P
 A004   5.425 1 S
 A004   2.915 1 P
  B16   4.955 1 S
 A014   2.795 1 P
  B18   4.985 1 S
  B18   2.805 1 P
  BX1   4.485 1 S
  BX1   2.795 1 P
  B22   2.835 1 P
  BX3   4.515 1 S
  BX3   2.835 1 P
  B37   2.905 1 P
  B38   5.675 1 S
  B38   2.905 1 P
# 2023 04 18 05 14 58.854 85.5267  27.6703  14.753  6.50 0 0 0      7
 A098   5.386 1 S
 A099   3.056 1 P
 A099   5.426 1 S
 A101   5.426 1 S
 A106   3.096 1 P
  AX5   3.016 1 P
 A088   2.886 1 P
 A088   5.266 1 S
 A085   2.916 1 P
 A085   5.046 1 S
 A084   5.066 1 S
 A081   5.426 1 S
 A081   3.436 1 P
 A080   2.926 1 P
 A079   2.896 1 P
 A079   5.306 1 S
 A078   2.896 1 P
 A078   5.056 1 S
 A077   2.896 1 P
