# 2023 04 13 00 19  6.761 85.5622  28.1551  10.567  6.21 0 0 0      1
 2D04   4.499 1 S
  C42   3.235 1 P
 A010   3.895 1 P
 A010   6.905 1 S
  C24   5.825 1 S
  C24   3.245 1 P
  C41   5.675 1 S
  C41   3.205 1 P
 A009   6.975 1 S
 A008   6.825 1 S
 A008   3.925 1 P
 A048   3.695 1 P
  C23   5.845 1 S
  C23   3.255 1 P
  C22   5.875 1 S
  C22   3.285 1 P
 A050   6.955 1 S
 A050   3.735 1 P
 A042   3.765 1 P
 A042   6.625 1 S
  C21   5.855 1 S
  C21   3.285 1 P
 A044   3.735 1 P
 A045   3.775 1 P
 A045   6.645 1 S
 A039   6.585 1 S
 A039   3.735 1 P
 A046   3.755 1 P
 A046   6.575 1 S
 A043   3.765 1 P
  C20   5.965 1 S
  C20   3.295 1 P
 A051   3.755 1 P
  C19   5.835 1 S
  C19   3.325 1 P
  C18   3.335 1 P
 A052   3.725 1 P
  C17   3.335 1 P
  C17   5.905 1 S
  C16   3.355 1 P
  C16   5.905 1 S
  C15   3.315 1 P
  C15   5.945 1 S
  C14   3.355 1 P
  C14   5.905 1 S
  C13   3.355 1 P
  C13   5.935 1 S
 A057   3.695 1 P
  C12   6.005 1 S
  C11   6.055 1 S
  C11   3.725 1 P
 A059   3.745 1 P
  C09   5.935 1 S
  C09   3.375 1 P
 A060   6.745 1 S
 A060   3.725 1 P
  C08   6.055 1 S
  C08   3.395 1 P
  C07   6.035 1 S
  C07   3.405 1 P
  C06   6.025 1 S
  C06   3.415 1 P
  C05   6.125 1 S
 A064   3.725 1 P
  C04   3.455 1 P
  C04   6.225 1 S
  C03   3.475 1 P
  C03   6.095 1 S
  C99   3.455 1 P
  C99   6.155 1 S
 A068   3.725 1 P
  C02   3.455 1 P
  C02   6.155 1 S
 A069   3.725 1 P
 A069   6.485 1 S
  C01   3.495 1 P
  C01   6.195 1 S
  AX4   3.445 1 P
  AX4   6.015 1 S
 A177   3.495 1 P
 A177   6.175 1 S
 A175   3.455 1 P
 A175   6.145 1 S
 A172   3.495 1 P
 A172   6.275 1 S
 A176   3.495 1 P
 A176   6.145 1 S
 A174   3.485 1 P
 A174   6.145 1 S
 A070   3.725 1 P
 A070   6.495 1 S
 A173   3.515 1 P
 A173   6.305 1 S
  AX3   3.455 1 P
  AX3   6.065 1 S
 A171   3.515 1 P
 A171   6.385 1 S
 A076   3.735 1 P
 A075   6.615 1 S
 A075   3.755 1 P
  AX2   3.495 1 P
  AX2   6.465 1 S
 A074   6.825 1 S
