# 2023 04 12 00 30 33.397 85.3933  28.3791  37.190  7.68 0 0 0      1
 A171   6.260 1 P
 A174   6.380 1 P
 A095   9.470 1 S
 A172   6.220 1 P
  AX3   6.210 1 P
  AX3  11.530 1 S
  C03   6.460 1 P
  C04   6.530 1 P
 A094   9.540 1 S
 A094   5.130 1 P
  C05   6.610 1 P
  C06   6.280 1 P
 A093   9.540 1 S
  C08   6.680 1 P
  C09   6.410 1 P
  C09  11.540 1 S
  C10   6.330 1 P
  C11   6.280 1 P
  C13   6.740 1 P
  C15   6.370 1 P
  C16   6.450 1 P
  C17   6.460 1 P
  C18   6.520 1 P
 A090   5.340 1 P
 A090   9.470 1 S
  C19   6.340 1 P
 A089   9.630 1 S
  C20   6.440 1 P
  C41   6.490 1 P
  C42   6.460 1 P
  C42  11.450 1 S
 A088   5.180 1 P
 A088   9.420 1 S
  C47   6.420 1 P
  C47  11.500 1 S
  C48   6.360 1 P
  C48  11.530 1 S
 A087   5.290 1 P
 A087   9.580 1 S
  C49   6.420 1 P
  C50   6.440 1 P
  C50  11.530 1 S
  C51   6.410 1 P
  C51  11.470 1 S
 A086   9.430 1 S
 A086   5.290 1 P
 A085   9.420 1 S
 A085   5.360 1 P
  C55   6.500 1 P
  C55  11.530 1 S
  C56   6.460 1 P
  C56  11.480 1 S
  C57   6.480 1 P
  C57  11.540 1 S
 A084   9.440 1 S
 A084   5.280 1 P
  C58   6.490 1 P
  C58  11.850 1 S
  C59   6.570 1 P
  C60   6.410 1 P
 A083   9.700 1 S
 A083   5.380 1 P
  C61   6.530 1 P
  C62  11.530 1 S
 A082   9.820 1 S
 A082   5.420 1 P
  C63   6.480 1 P
  C65  11.550 1 S
  C68   6.520 1 P
  C68  11.530 1 S
  C71   6.600 1 P
 A079   5.460 1 P
 A079   9.750 1 S
 A078   5.380 1 P
 2D09   6.160 1 P
 A077   9.620 1 S
 A077   5.250 1 P
 A073   5.340 1 P
 A064   5.380 1 P
 A063  10.770 1 S
 A063   5.340 1 P
 A059   9.480 1 S
 2D07  10.200 1 S
 2D07   5.740 1 P
 A051   9.460 1 S
 A043   9.340 1 S
 A041   9.340 1 S
 A023   9.080 1 S
 A008   8.900 1 S
 A007   8.860 1 S
 A002   8.860 1 S
 2D04   5.690 1 P
 2D04  10.420 1 S
# 2023 04 12 04 33 53.362 85.6944  27.8020  22.611  6.80 0 0 0      6
 A158   4.468 1 P
 A158   7.658 1 S
 A160   4.508 1 P
 A147   4.408 1 P
 A157   4.458 1 P
 A156   4.468 1 P
 A156   7.828 1 S
 A161   4.498 1 P
 A161   7.978 1 S
 A159   4.498 1 P
 A162   4.508 1 P
 A155   4.428 1 P
 A155   7.738 1 S
 A148   4.398 1 P
 A148   8.358 1 S
 A141   4.378 1 P
 A142   4.348 1 P
 A163   4.538 1 P
 A163   7.958 1 S
 A154   4.438 1 P
 A154   7.628 1 S
 A139   7.678 1 S
